Customer ID,Gender,Age,Senior Citizen,Married,Dependents,City,State,Tenure in Months,Tenure Bucket,Contract,Internet Type,Payment Method,Monthly Charge,Total Charges,Total Revenue,Satisfaction Score,Churn Score,CLTV,Churned,Churn Label,Churn Category,Churn Reason,At Risk Flag
4385-GZQXV,Female,68,Yes,No,No,Ontario,California,16,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,94.45,1511.2,1662.08,1,81,3810,1,Yes,Competitor,Competitor had better devices,Normal
3488-PGMQJ,Male,66,Yes,No,No,Alpine,California,8,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,74.5,606.55,620.79,2,80,4345,1,Yes,Dissatisfaction,Poor expertise of online support,Normal
7534-BFESC,Male,69,Yes,No,No,San Diego,California,24,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,76.1,1712.7,2453.58,2,91,2018,1,Yes,Competitor,Competitor made better offer,Normal
8098-LLAZX,Female,74,Yes,No,No,San Diego,California,4,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,95.45,396.1,522.54,3,85,3677,1,Yes,Competitor,Competitor made better offer,Normal
0265-EDXBD,Male,76,Yes,Yes,No,San Diego,California,32,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,74.9,2303.35,3818.23,2,69,4105,1,Yes,Attitude,Attitude of support person,Normal
2840-XANRC,Male,77,Yes,Yes,No,San Diego,California,24,13-24,Month-to-Month,Cable,Bank Withdrawal,93.15,2231.05,2617.4500000000003,2,73,2212,1,Yes,Competitor,Competitor made better offer,Normal
5020-ZSTTY,Female,70,Yes,No,No,San Diego,California,54,49-72,One Year,DSL,Bank Withdrawal,82.45,4350.1,5002.42,1,83,4149,1,Yes,Competitor,Competitor made better offer,Normal
5804-LEPIM,Female,74,Yes,No,No,San Diego,California,2,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,70.35,139.05,165.39,3,73,2671,1,Yes,Other,Don't know,Normal
0623-IIHUG,Female,77,Yes,No,No,San Diego,California,21,13-24,Month-to-Month,Cable,Bank Withdrawal,41.9,840.1,840.1,1,90,4778,1,Yes,Competitor,Competitor made better offer,Normal
9057-MSWCO,Male,71,Yes,Yes,No,San Diego,California,27,25-48,Month-to-Month,Cable,Credit Card,30.75,805.1,945.1,1,91,2927,1,Yes,Competitor,Competitor made better offer,Normal
4895-TMWIR,Male,79,Yes,Yes,No,San Diego,California,11,0-12,Month-to-Month,,Mailed Check,19.95,214.75,539.69,1,80,5888,1,Yes,Competitor,Competitor made better offer,Normal
0533-BNWKF,Female,66,Yes,Yes,No,San Diego,California,55,49-72,Month-to-Month,Fiber Optic,Bank Withdrawal,85.45,4874.7,7319.799999999999,1,91,5502,1,Yes,Competitor,Competitor made better offer,Normal
0334-GDDSO,Male,77,Yes,No,No,San Diego,California,3,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,81.35,233.7,261.36,1,73,2818,1,Yes,Competitor,Competitor made better offer,Normal
5564-NEMQO,Female,80,Yes,No,No,Thermal,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,75.3,75.3,130.39,2,67,4902,1,Yes,Dissatisfaction,Network reliability,Normal
6235-VDHOM,Female,77,Yes,No,No,Riverside,California,5,0-12,Month-to-Month,DSL,Bank Withdrawal,28.45,131.05,131.05,2,89,4099,1,Yes,Dissatisfaction,Limited range of services,Normal
5609-CEBID,Female,77,Yes,No,No,Hemet,California,20,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,94.1,1782.4,2837.0,1,87,2666,1,Yes,Competitor,Competitor had better devices,Normal
5956-VKDTT,Female,72,Yes,Yes,No,Moreno Valley,California,5,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,74.35,334.8,563.6,1,82,5273,1,Yes,Dissatisfaction,Product dissatisfaction,Normal
0257-ZESQC,Female,80,Yes,Yes,No,Perris,California,27,25-48,Month-to-Month,Cable,Bank Withdrawal,75.2,1929.35,2118.89,1,91,4517,1,Yes,Attitude,Attitude of support person,Normal
2865-TCHJW,Female,74,Yes,No,No,Anaheim,California,4,0-12,Month-to-Month,Cable,Bank Withdrawal,89.2,346.2,539.6,1,74,5808,1,Yes,Competitor,Competitor had better devices,Normal
5192-EBGOV,Female,68,Yes,No,No,Brea,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,85.7,85.7,131.51,1,66,4880,1,Yes,Competitor,Competitor had better devices,Normal
3419-SNJJD,Female,78,Yes,Yes,No,Yorba Linda,California,65,49-72,Month-to-Month,Fiber Optic,Bank Withdrawal,105.25,6786.4,7981.75,1,91,4196,1,Yes,Attitude,Attitude of support person,Normal
4554-YGZIH,Male,75,Yes,Yes,No,Summerland,California,49,49-72,Month-to-Month,Fiber Optic,Credit Card,90.05,4547.25,5670.33,2,96,5059,1,Yes,Competitor,Competitor made better offer,Normal
5099-BAILX,Male,77,Yes,Yes,No,Santa Barbara,California,43,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,110.75,4687.9,5312.259999999999,2,65,2728,1,Yes,Competitor,Competitor made better offer,Normal
4913-EHYUI,Male,80,Yes,Yes,No,Alpaugh,California,56,49-72,One Year,Fiber Optic,Bank Withdrawal,104.55,5794.65,8527.449999999999,1,91,6268,1,Yes,Competitor,Competitor offered higher download speeds,Normal
1626-ERCMM,Male,75,Yes,Yes,No,Camp Nelson,California,20,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,94.55,1899.65,2005.85,1,84,5604,1,Yes,Competitor,Competitor had better devices,Normal
5644-PDMZC,Female,69,Yes,No,No,Delano,California,2,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,89.5,161.5,256.44,2,80,2065,1,Yes,Attitude,Attitude of support person,Normal
4160-AMJTL,Female,74,Yes,No,No,Fellows,California,8,0-12,Month-to-Month,,Bank Withdrawal,19.65,164.3,387.9,2,83,5432,1,Yes,Attitude,Attitude of support person,Normal
0823-HSCDJ,Male,76,Yes,No,No,Temecula,California,52,49-72,Month-to-Month,DSL,Bank Withdrawal,49.15,2550.9,2580.9,2,90,5597,1,Yes,Competitor,Competitor made better offer,Normal
0067-DKWBL,Male,69,Yes,No,No,San Diego,California,2,0-12,Month-to-Month,DSL,Bank Withdrawal,49.25,91.1,179.07999999999998,2,95,3475,1,Yes,Competitor,Competitor made better offer,Normal
5244-IRFIH,Male,72,Yes,Yes,No,San Diego,California,33,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,94.5,3105.55,4022.29,3,91,4333,1,Yes,Other,Poor expertise of online support,Normal
2684-EIWEO,Female,69,Yes,No,No,San Diego,California,30,25-48,Month-to-Month,Fiber Optic,Credit Card,91.7,2758.15,4134.55,1,90,2482,1,Yes,Competitor,Competitor made better offer,Normal
6683-VLCTZ,Male,73,Yes,No,No,San Diego,California,20,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,98.55,1842.8,2851.6,3,92,5444,1,Yes,Competitor,Competitor made better offer,Normal
0691-IFBQW,Female,65,Yes,No,No,Biola,California,46,25-48,One Year,Fiber Optic,Bank Withdrawal,110.0,4874.8,4983.820000000001,1,81,2403,1,Yes,Competitor,Competitor made better offer,Normal
3643-AHCFP,Male,74,Yes,Yes,No,Selma,California,7,0-12,Month-to-Month,Cable,Bank Withdrawal,95.6,644.35,797.72,3,83,3265,1,Yes,Competitor,Competitor made better offer,Normal
9231-ZJYAM,Female,65,Yes,No,No,Squaw Valley,California,4,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,78.85,292.8,440.52,3,72,5301,1,Yes,Other,Moved,Normal
0727-BMPLR,Female,66,Yes,No,No,Fresno,California,55,49-72,One Year,Fiber Optic,Bank Withdrawal,100.0,5509.3,7665.200000000001,3,83,5679,1,Yes,Competitor,Competitor offered higher download speeds,Normal
0947-MUGVO,Male,71,Yes,Yes,No,Jolon,California,20,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,73.65,1463.5,1570.9,1,95,5849,1,Yes,Competitor,Competitor had better devices,Normal
0781-LKXBR,Male,65,Yes,No,No,San Francisco,California,9,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,100.5,918.6,1356.99,1,70,4038,1,Yes,Competitor,Competitor had better devices,Normal
1907-UBQFC,Male,69,Yes,No,No,San Francisco,California,10,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,72.85,688.65,773.25,1,91,3189,1,Yes,Competitor,Competitor had better devices,Normal
6513-EECDB,Male,75,Yes,Yes,No,San Francisco,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,73.55,73.55,110.47,2,94,4369,1,Yes,Price,Price too high,Normal
7074-IEVOJ,Female,75,Yes,No,No,San Francisco,California,3,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,79.4,205.05,330.75,1,91,3501,1,Yes,Dissatisfaction,Product dissatisfaction,Normal
4750-ZRXIU,Female,68,Yes,No,No,Palo Alto,California,4,0-12,Month-to-Month,Cable,Bank Withdrawal,84.6,360.1,386.8200000000001,1,83,2467,1,Yes,Competitor,Competitor had better devices,Normal
7028-DVOIQ,Male,71,Yes,No,No,Birds Landing,California,35,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,99.05,3395.8,4244.85,1,82,2074,1,Yes,Other,Don't know,Normal
4208-UFFGW,Male,80,Yes,No,No,Byron,California,2,0-12,Month-to-Month,DSL,Credit Card,44.95,85.15,138.39,2,84,5900,1,Yes,Other,Don't know,Normal
9889-TMAHG,Male,66,Yes,No,No,Fremont,California,8,0-12,Month-to-Month,Fiber Optic,Credit Card,100.3,832.35,924.91,1,74,5084,1,Yes,Competitor,Competitor had better devices,Normal
8919-FYFQZ,Male,73,Yes,Yes,No,Livermore,California,44,25-48,Month-to-Month,Cable,Bank Withdrawal,30.35,1359.7,1359.7,1,96,4829,1,Yes,Competitor,Competitor had better devices,Normal
6646-QVXLR,Male,77,Yes,Yes,No,Napa,California,62,49-72,One Year,Fiber Optic,Bank Withdrawal,103.75,6383.35,6824.17,1,91,5052,1,Yes,Competitor,Competitor had better devices,Normal
9369-XFEHK,Female,76,Yes,Yes,No,Pleasanton,California,33,25-48,Month-to-Month,Cable,Bank Withdrawal,80.6,2656.5,3751.77,2,72,3601,1,Yes,Competitor,Competitor offered more data,Normal
1374-DMZUI,Female,65,Yes,No,No,San Ramon,California,4,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,94.3,424.45,622.45,2,91,5419,1,Yes,Competitor,Competitor made better offer,Normal
1989-PRJHP,Male,75,Yes,Yes,No,Pleasanton,California,27,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,75.5,1893.95,2180.15,1,65,2377,1,Yes,Competitor,Competitor had better devices,Normal
4822-RVYBB,Male,75,Yes,No,No,Berkeley,California,8,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,100.6,819.4,1143.0,1,90,5906,1,Yes,Attitude,Attitude of support person,Normal
4184-TJFAN,Female,68,Yes,Yes,No,Berkeley,California,3,0-12,Month-to-Month,Fiber Optic,Mailed Check,88.3,273.75,351.06,1,68,4486,1,Yes,Attitude,Attitude of support person,Normal
4145-UQXUQ,Female,71,Yes,No,No,Berkeley,California,8,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,92.1,729.95,1073.39,1,81,5662,1,Yes,Competitor,Competitor had better devices,Normal
1236-WFCDV,Male,74,Yes,No,No,Greenbrae,California,14,13-24,Month-to-Month,Fiber Optic,Credit Card,90.45,1266.1,1424.4399999999998,3,96,4777,1,Yes,Competitor,Competitor offered more data,Normal
1271-SJBGZ,Male,77,Yes,No,No,Forest Knolls,California,12,0-12,Month-to-Month,DSL,Bank Withdrawal,43.65,526.95,526.95,1,74,2437,1,Yes,Competitor,Competitor had better devices,Normal
4441-NIHPT,Female,73,Yes,No,No,Freedom,California,13,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,74.3,940.35,1465.16,1,90,2995,1,Yes,Competitor,Competitor had better devices,Normal
8999-BOHSE,Female,68,Yes,No,No,Gilroy,California,11,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,89.7,1047.7,1091.26,2,89,2202,1,Yes,Attitude,Attitude of support person,Normal
7029-RPUAV,Male,74,Yes,Yes,No,Los Gatos,California,17,13-24,Month-to-Month,Cable,Credit Card,100.45,1622.45,2101.51,3,87,5508,1,Yes,Competitor,Competitor offered more data,Normal
8111-SLLHI,Male,65,Yes,Yes,No,San Jose,California,39,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,105.65,4284.8,5581.55,3,96,4687,1,Yes,Attitude,Attitude of support person,Normal
5293-WXJAK,Female,73,Yes,Yes,No,San Jose,California,11,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,104.05,1133.65,1323.4,3,82,4553,1,Yes,Competitor,Competitor offered more data,Normal
4086-YQSNZ,Female,74,Yes,Yes,No,Glencoe,California,3,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,80.4,224.05,233.92,2,89,3834,1,Yes,Attitude,Attitude of service provider,Normal
8399-YNDCH,Male,80,Yes,No,No,Columbia,California,21,13-24,Month-to-Month,DSL,Bank Withdrawal,60.05,1236.15,1963.17,1,70,4716,1,Yes,Competitor,Competitor had better devices,Normal
5565-FILXA,Female,76,Yes,No,No,Escondido,California,16,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,96.15,1529.2,2149.2,2,96,5913,1,Yes,Other,Don't know,Normal
4187-CINZD,Female,73,Yes,No,No,Lakewood,California,46,25-48,One Year,Fiber Optic,Credit Card,95.25,4424.2,4706.18,2,90,3180,1,Yes,Competitor,Competitor had better devices,Normal
6818-WOBHJ,Female,70,Yes,Yes,No,Fulton,California,68,49-72,Month-to-Month,Fiber Optic,Bank Withdrawal,89.6,6127.6,7768.44,1,69,5651,1,Yes,Competitor,Competitor had better devices,Normal
9134-CEQMF,Male,75,Yes,Yes,No,Nice,California,7,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,89.5,676.7,772.11,2,89,3077,1,Yes,Dissatisfaction,Network reliability,Normal
8519-IMDHU,Male,74,Yes,Yes,No,Alderpoint,California,15,13-24,Month-to-Month,Cable,Bank Withdrawal,85.6,1345.55,2024.3,1,83,4981,1,Yes,Competitor,Competitor had better devices,Normal
3372-KWFBM,Male,76,Yes,No,No,Bayside,California,16,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,86.6,1281.0,1587.88,3,81,2508,1,Yes,Dissatisfaction,Network reliability,Normal
7206-GZCDC,Female,75,Yes,No,No,Loleta,California,1,0-12,Month-to-Month,Cable,Bank Withdrawal,69.25,69.25,98.93,2,75,4371,1,Yes,Attitude,Attitude of support person,Normal
1768-ZAIFU,Female,74,Yes,No,No,Rio Dell,California,1,0-12,Month-to-Month,Cable,Bank Withdrawal,25.2,25.2,25.2,1,67,5688,1,Yes,Competitor,Competitor made better offer,Normal
3793-MMFUH,Female,73,Yes,No,No,Davis,California,13,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,95.05,1290.0,1537.39,1,90,2230,1,Yes,Competitor,Competitor made better offer,Normal
6567-HOOPW,Female,69,Yes,No,No,Folsom,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,79.2,79.2,99.26,3,76,4363,1,Yes,Competitor,Competitor made better offer,Normal
8621-MNIHH,Female,75,Yes,Yes,No,Madison,California,34,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,94.25,3217.55,3315.4700000000003,1,88,3369,1,Yes,Competitor,Competitor had better devices,Normal
5419-CONWX,Female,65,Yes,No,No,Pleasant Grove,California,4,0-12,Month-to-Month,Fiber Optic,Credit Card,99.8,442.85,493.5700000000001,1,89,2268,1,Yes,Competitor,Competitor had better devices,Normal
7024-OHCCK,Female,77,Yes,No,No,Sheridan,California,2,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,93.85,170.85,209.39,3,72,4193,1,Yes,Other,Poor expertise of online support,Normal
5357-TZHPP,Male,67,Yes,No,No,Wheatland,California,9,0-12,Month-to-Month,Fiber Optic,Credit Card,84.4,732.5,1009.7,2,83,5745,1,Yes,Attitude,Attitude of support person,Normal
0506-LVNGN,Female,78,Yes,No,No,Rancho Cordova,California,5,0-12,Month-to-Month,Fiber Optic,Credit Card,75.55,349.65,561.3,1,90,4028,1,Yes,Competitor,Competitor had better devices,Normal
9809-IMGCQ,Male,65,Yes,No,No,Canyon Dam,California,22,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,96.7,2082.95,3066.91,1,93,4458,1,Yes,Competitor,Competitor made better offer,Normal
3254-YRILK,Male,74,Yes,No,No,Dobbins,California,19,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,88.2,1775.8,2535.23,1,69,5683,1,Yes,Competitor,Competitor had better devices,Normal
0529-ONKER,Male,70,Yes,No,No,Forest Ranch,California,15,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,75.65,1146.65,1842.35,3,96,2099,1,Yes,Attitude,Attitude of support person,Normal
5240-IJOQT,Male,69,Yes,No,No,Grass Valley,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,74.7,74.7,86.04,1,88,3348,1,Yes,Competitor,Competitor had better devices,Normal
0661-XEYAN,Female,76,Yes,No,No,Nevada City,California,1,0-12,Month-to-Month,DSL,Mailed Check,25.8,25.8,45.8,1,90,3884,1,Yes,Competitor,Competitor had better devices,Normal
2660-EMUBI,Male,71,Yes,No,No,Escondido,California,10,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,95.35,898.35,1312.05,1,75,5353,1,Yes,Competitor,Competitor made better offer,Normal
7675-OZCZG,Female,76,Yes,No,No,Fallbrook,California,3,0-12,Month-to-Month,DSL,Bank Withdrawal,45.0,127.1,227.52,3,77,4145,1,Yes,Competitor,Competitor made better offer,Normal
9391-EOYLI,Male,77,Yes,Yes,No,Lewiston,California,12,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,80.45,950.2,1033.84,2,69,5374,1,Yes,Competitor,Competitor made better offer,Normal
2761-OCIAX,Male,74,Yes,No,No,Palo Cedro,California,2,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,74.7,165.4,178.42000000000002,2,81,2803,1,Yes,Competitor,Competitor made better offer,Normal
3068-OMWZA,Male,77,Yes,No,No,Round Mountain,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,88.8,88.8,148.4,1,91,3106,1,Yes,Competitor,Competitor made better offer,Normal
4154-AQUGT,Male,76,Yes,Yes,No,San Diego,California,13,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,89.05,1169.35,1188.4599999999998,1,82,3861,1,Yes,Competitor,Competitor made better offer,Normal
8017-LXHFA,Female,77,Yes,No,No,San Diego,California,23,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,94.75,2293.6,3010.51,2,95,2740,1,Yes,Competitor,Competitor made better offer,Normal
4248-QPAVC,Female,80,Yes,Yes,No,San Diego,California,17,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,85.35,1463.45,2089.3900000000003,1,90,3209,1,Yes,Competitor,Competitor made better offer,Normal
4690-LLKUA,Male,68,Yes,No,No,San Diego,California,17,13-24,Month-to-Month,DSL,Bank Withdrawal,45.05,770.6,1466.41,1,93,3797,1,Yes,Competitor,Competitor made better offer,Normal
9490-DFPMD,Female,79,Yes,No,No,San Diego,California,42,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,84.65,3541.35,3941.61,2,90,4871,1,Yes,Competitor,Competitor made better offer,Normal
8580-AECUZ,Male,65,Yes,No,No,San Diego,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,79.1,79.1,121.4,3,92,5001,1,Yes,Competitor,Competitor made better offer,Normal
5047-LHVLY,Male,68,Yes,No,No,San Diego,California,1,0-12,Month-to-Month,Cable,Mailed Check,50.15,50.15,89.93,2,91,3438,1,Yes,Competitor,Competitor made better offer,Normal
8375-DKEBR,Female,72,Yes,No,No,Hermosa Beach,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,69.6,69.6,104.11,1,96,3438,1,Yes,Competitor,Competitor had better devices,Normal
7279-BUYWN,Female,66,Yes,No,No,Buena Park,California,41,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,113.2,4689.5,5835.45,1,89,3380,1,Yes,Attitude,Attitude of support person,Normal
7156-MHUGY,Male,68,Yes,No,No,Buena Park,California,13,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,90.5,1201.15,1650.7400000000002,1,76,5394,1,Yes,Competitor,Competitor had better devices,Normal
9606-PBKBQ,Male,69,Yes,Yes,No,Long Beach,California,32,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,85.0,2642.05,2784.16,1,94,4584,1,Yes,Attitude,Attitude of support person,Normal
3536-IQCTX,Male,76,Yes,Yes,No,South Pasadena,California,32,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,85.3,2661.1,4248.3,1,75,2712,1,Yes,Competitor,Competitor had better devices,Normal
3132-TVFDZ,Male,70,Yes,Yes,No,Glendale,California,57,49-72,Month-to-Month,Cable,Bank Withdrawal,44.85,2572.95,2560.88,2,82,5172,1,Yes,Attitude,Attitude of support person,Normal
8080-DDEMJ,Male,71,Yes,No,No,Glendale,California,1,0-12,Month-to-Month,Cable,Bank Withdrawal,45.1,45.1,60.38,2,79,4499,1,Yes,Attitude,Attitude of support person,Normal
6702-OHFWR,Male,75,Yes,No,No,Reseda,California,1,0-12,Month-to-Month,DSL,Bank Withdrawal,43.3,43.3,43.3,3,91,4972,1,Yes,Other,Poor expertise of online support,Normal
4510-PYUSH,Female,67,Yes,No,No,Sylmar,California,38,25-48,Month-to-Month,DSL,Credit Card,57.15,2250.65,3242.4500000000003,1,75,3110,1,Yes,Attitude,Attitude of support person,Normal
8840-DQLGN,Female,65,Yes,Yes,No,Burbank,California,35,25-48,Month-to-Month,Cable,Bank Withdrawal,100.5,3653.35,4212.65,1,81,4745,1,Yes,Attitude,Attitude of support person,Normal
4193-ORFCL,Female,80,Yes,No,No,North Hollywood,California,1,0-12,Month-to-Month,DSL,Credit Card,45.1,45.1,60.34,1,70,2740,1,Yes,Competitor,Competitor had better devices,Normal
7776-QWNFX,Male,71,Yes,Yes,No,Chino,California,30,25-48,Month-to-Month,DSL,Bank Withdrawal,50.4,1527.5,1667.0,3,83,4795,1,Yes,Attitude,Attitude of support person,Normal
6689-TCZHQ,Female,70,Yes,No,No,Claremont,California,5,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,78.95,378.4,439.75,3,65,4054,1,Yes,Attitude,Attitude of support person,Normal
9497-QCMMS,Male,73,Yes,No,No,San Diego,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,93.55,93.55,123.72,1,81,5536,1,Yes,Competitor,Competitor made better offer,Normal
3424-NMNBO,Male,78,Yes,Yes,No,San Diego,California,58,49-72,One Year,Fiber Optic,Bank Withdrawal,108.85,6287.25,9151.29,1,91,4739,1,Yes,Competitor,Competitor made better offer,Normal
4514-GFCFI,Female,76,Yes,No,No,San Diego,California,16,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,84.75,1350.15,1630.3100000000002,2,91,5136,1,Yes,Attitude,Attitude of support person,Normal
8000-REIQB,Female,73,Yes,No,No,San Diego,California,1,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,69.95,69.95,102.45,2,94,3208,1,Yes,Competitor,Competitor made better offer,Normal
4795-KTRTH,Female,68,Yes,Yes,No,San Diego,California,5,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,81.0,371.65,577.41,1,91,4287,1,Yes,Competitor,Competitor made better offer,Normal
9961-JBNMK,Male,79,Yes,No,No,Desert Center,California,21,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,96.8,2030.3,2907.77,1,87,4317,1,Yes,Dissatisfaction,Product dissatisfaction,Normal
6179-GJPSO,Female,67,Yes,No,No,Escondido,California,43,25-48,Month-to-Month,Fiber Optic,Credit Card,108.15,4600.7,5969.389999999999,1,86,2833,1,Yes,Competitor,Competitor made better offer,Normal
8290-YWKHZ,Female,69,Yes,Yes,No,Fallbrook,California,32,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,93.2,2931.0,3992.8,3,90,5247,1,Yes,Competitor,Competitor made better offer,Normal
